################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   5.7414619674467104E-01   3.3486073021043623E+00   2.2426725423904674E+00   3.8336683464852023E-01
         1          2   4.8976066859776690E-01   1.8388421296742787E+00   1.3167619986654995E+00   1.9225923479055523E-01
         1          3   4.2973942660965708E-01   2.5289512948573520E+00   1.6352944374229312E+00   2.8342902338767462E-01
         1          4   4.1487691386121234E-01   1.4292267058395021E+00   1.0121678050496392E+00   1.4212276952304573E-01
         1          5   2.6351933566828445E-01   1.5387151684166134E+00   9.0741149653731801E-01   1.6175938787188743E-01
         1          6   3.0530780932188845E-01   9.2672521505843519E-01   6.4796008709584563E-01   8.1631090331478945E-02
         1          7   1.3827116285513325E-01   8.5925571827539793E-01   4.5707901770633208E-01   8.3722422619992590E-02
         1          8   2.3444146655099574E-01   5.9916754104135439E-01   4.2212032772622315E-01   4.4882737930370509E-02
         1          9   2.2447903887505719E-01   5.0050939485414059E-01   3.5946297821777434E-01   3.3807192434482408E-02
         1         10   1.7493148050800714E-01   1.0608195868985333E+00   5.3613223975752888E-01   1.0388592128513489E-01
         1         11   1.5842442366556742E-01   3.6957615248683590E-01   2.7017142083668871E-01   2.2118474378493503E-02
         1         12   9.0448525455478337E-02   6.9086726283806699E-01   2.9731293296333783E-01   5.8367682385156744E-02
         1         13   7.2596015847038300E-02   3.2141218139566929E-01   1.9333559616086435E-01   2.4877410322198045E-02
         1         14   2.6614947228889137E-02   4.4036875730764913E-01   1.6030872333035903E-01   3.9282550950725491E-02
         1         15   5.8263390778532029E-03   2.7190156773364837E-01   8.6649036845707739E-02   2.5955613749655746E-02
         1         16   3.7741110385992036E-04   3.1795245353425022E-01   5.9057766950666571E-02   3.3512093642600035E-02
         1         17   3.4642469951419684E-06   3.6476952136716180E-02   1.6198233802487593E-02   6.1680831026547211E-03
         1         18   3.3470105638011439E-03   4.9018758894776908E-02   2.1431915750582658E-02   6.2082801960821159E-03
         1         19   1.0215736972276279E-05   4.6961622112353489E-02   1.5907418819526231E-02   6.2912237414490700E-03
         1         20   4.0501732814148060E-02   2.5037379939991783E-01   1.3924749254433039E-01   2.8308234172615319E-02
         1         21   2.2403063078223246E-03   5.3233617431625462E-02   1.7560802449670346E-02   5.7241487565052275E-03
         1         22   5.4381901842949243E-05   1.9560753846690239E-02   5.8295291611935533E-03   2.4924074264840181E-03
         1         23   2.5956443721489458E-02   1.5254994817575698E-01   7.8159273884064004E-02   1.4932926873543934E-02
         1         24   3.3432141533565199E-04   1.1938663345000617E-02   4.0423265758645251E-03   1.4863740132008644E-03
         1         25   4.5220420850041609E-04   1.3088654289427645E-02   3.6466239821697287E-03   1.0934244286442572E-03
         1         26   8.5041833065283672E-03   4.5623606417070244E-02   2.4169558971886423E-02   3.8903257570572086E-03
         1         27   2.4005207555743863E-04   9.1180356390549756E-03   2.4192089453313609E-03   7.8450708942763429E-04
         2          1   1.2123200161209791E+00   3.6401774554746833E+00   2.6335239973309985E+00   3.6225154665409404E-01
         2          2   2.6485126820465527E-01   1.4708638023258882E+00   9.5899454482700575E-01   1.7835634080734947E-01
         2          3   1.0208412337842907E+00   2.7981759610534702E+00   2.0243356100992793E+00   2.6411980669478224E-01
         2          4   1.8100499315223226E-01   1.0534763662664246E+00   6.5774477485211835E-01   1.2806789962922496E-01
         2          5   7.3742966321847381E-01   1.7899102333289065E+00   1.2959201741916910E+00   1.4596950292314331E-01
         2          6   8.1805612763768437E-02   5.3728753158666642E-01   3.0621639890667707E-01   6.6147216874217402E-02
         2          7   5.3902692552199094E-01   1.1318114294705783E+00   8.4424065545244609E-01   7.4996527855603429E-02
         2          8   2.2651212029732571E-02   2.1580225944460721E-01   1.0936751882608514E-01   2.7468582637863843E-02
         2          9   5.0440415823570883E-01   9.2958503430983819E-01   7.1892595643554902E-01   5.1450929887744606E-02
         2         10   1.0717436693279864E-01   8.8801463339011755E-01   4.7566153746905909E-01   1.1322506557216527E-01
         2         11   3.5504674389530949E-01   6.9855589881086666E-01   5.4034284167337743E-01   3.5040848800636661E-02
         2         12   4.6427440368571250E-02   6.5141531073165626E-01   3.0829672097283167E-01   8.7932949144666733E-02
         2         13   1.9486198208521077E-01   5.6614155230995900E-01   3.8667119232172870E-01   3.6860481212957513E-02
         2         14   1.0573592563212048E-02   4.3562833215267471E-01   1.6230425157940873E-01   6.2577692863553164E-02
         2         15   3.4294980850362873E-02   4.0530021857776916E-01   1.7329807369141548E-01   3.6684155853050703E-02
         2         16   8.1294191202923135E-05   2.1906808696297914E-01   4.0541935892394049E-02   2.8144634447654058E-02
         2         17   1.2441825132692708E-03   3.5979518159126450E-02   1.5193851603437726E-02   4.8244899559726790E-03
         2         18   1.5420208679776565E-05   2.2525286691800158E-03   6.2609575604296913E-04   3.3192186078444784E-04
         2         19   4.1938906513954641E-02   3.6374277072663830E-01   1.9342217117466232E-01   4.8066850798173147E-02
         2         20   1.3289687855665173E-03   2.8604433351009505E-02   1.0747323296641121E-02   4.0557261517157519E-03
         2         21   3.1260224475885032E-03   5.9164308808068590E-02   2.9242702905654516E-02   6.7692283898129445E-03
         2         22   1.2146143903106517E-02   1.6473064249493000E-01   7.1601482778914691E-02   2.0212261595813696E-02
         2         23   1.6872221424649583E-02   8.8396988595190240E-02   4.7219145407789369E-02   8.7695763438263730E-03
