################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0822798042631132E-01 a         1     0     1     1     1
 -9.1822461099549682E-02 a         2     0     1     1     2
  4.9268516489200227E-02 a         3     0     1     1     3
  1.7524748435341178E-01 a         4     0     1     1     4
 -4.2837992423894639E-01 a         5     0     1     1     5
 -2.3435321309560064E-01 a         6     0     1     1     6
 -3.8275590719606609E-02 a         7     0     1     1     7
  2.5594304983582428E-01 a         8     0     1     1     8
 -3.9650922539225958E-01 a         9     0     1     1     9
 -1.3995937312663217E-01 a        10     0     1     1    10
 -7.3053175033063203E-02 a        11     0     1     1    11
 -3.8214878638005162E-01 a        12     0     1     1    12
 -3.3454397909592304E-01 a        13     0     1     1    13
  1.0628717227714281E-01 a        14     0     1     1    14
 -8.3830670804500029E-01 a        15     0     1     1    15
 -3.4189480156308899E-01 a        16     0     2     1     1
 -4.1034742531988710E-01 a        17     0     2     1     2
 -1.1001379971831697E+00 a        18     0     2     1     3
  3.3729458878308749E-01 a        19     0     2     1     4
  5.4439937642980440E-01 a        20     0     2     1     5
  4.2421790703140427E-01 a        21     0     2     1     6
  6.7663605714443031E-01 a        22     0     2     1     7
  1.9746533729092683E-01 a        23     0     2     1     8
  5.9921708785025829E-01 a        24     0     2     1     9
  1.9771516812351247E-01 a        25     0     2     1    10
 -3.6703852646632096E-01 a        26     0     2     1    11
 -7.2084480789900859E-02 a        27     0     2     1    12
 -2.7353144921646916E-01 a        28     0     2     1    13
 -4.5630656422778942E-01 a        29     0     2     1    14
  1.0245692717229113E+00 a        30     0     2     1    15
  5.4489697644113477E-01 a        31     0     3     1     1
  2.0401375038894556E-01 a        32     0     3     1     2
  1.0197147881594344E+00 a        33     0     3     1     3
 -3.9164710999712299E-01 a        34     0     3     1     4
 -1.9173386719210989E-01 a        35     0     3     1     5
 -1.8931619944376943E-01 a        36     0     3     1     6
  7.8241062292681934E-02 a        37     0     3     1     7
 -8.8985120864267087E-01 a        38     0     3     1     8
 -1.9121603457877365E-01 a        39     0     3     1     9
 -2.4820106001273440E-01 a        40     0     3     1    10
  2.0316914909810418E-01 a        41     0     3     1    11
  5.0899288109574503E-01 a        42     0     3     1    12
  8.7435825277412993E-01 a        43     0     3     1    13
  5.6038273232250024E-01 a        44     0     3     1    14
  2.2639174796791467E-01 a        45     0     3     1    15
  3.3245827527068539E-01 a        46     0     4     1     1
  2.5687075250869079E-01 a        47     0     4     1     2
  4.1243797454640668E-01 a        48     0     4     1     3
 -5.0590364216934669E-01 a        49     0     4     1     4
 -3.4087970878591389E-01 a        50     0     4     1     5
  2.0616409904601654E-01 a        51     0     4     1     6
 -2.2281030664377671E-01 a        52     0     4     1     7
 -4.1632328685949171E-01 a        53     0     4     1     8
  3.5936594470423894E-01 a        54     0     4     1     9
 -9.0703405110275793E-03 a        55     0     4     1    10
 -3.1289007332226382E-01 a        56     0     4     1    11
  6.1144560864428876E-01 a        57     0     4     1    12
  5.5996754660199743E-01 a        58     0     4     1    13
  5.8417126718938193E-02 a        59     0     4     1    14
 -2.7195576813620453E-01 a        60     0     4     1    15
 -8.2871832848775007E-01 a        61     0     5     1     1
  6.0315833469632096E-01 a        62     0     5     1     2
 -1.1920243080429580E+00 a        63     0     5     1     3
 -1.5281245875187877E-01 a        64     0     5     1     4
  2.6681425191516678E-01 a        65     0     5     1     5
  1.4587595887246574E-01 a        66     0     5     1     6
 -2.3490812074459258E-01 a        67     0     5     1     7
