################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.4803434283422019E-01 a         1     0     1     1     1
  1.6579762071134088E+00 a         2     0     1     1     2
 -4.1558323553266069E-01 a         3     0     1     1     3
  2.6901999852110475E-01 a         4     0     1     1     4
  5.3911106331798386E-01 a         5     0     1     1     5
 -4.9430702465514326E-01 a         6     0     1     1     6
 -4.4833086828064284E-01 a         7     0     1     1     7
  1.8223414015288303E-01 a         8     0     1     1     8
  5.8063649894423142E-01 a         9     0     1     1     9
  3.4817145665044041E-01 a        10     0     1     1    10
 -1.3893774494110400E-01 a        11     0     1     1    11
 -6.7712378531422834E-01 a        12     0     1     1    12
  2.6769947877276962E-01 a        13     0     1     1    13
 -8.4603131951322064E-01 a        14     0     1     1    14
 -1.1954989999610154E-01 a        15     0     1     1    15
 -5.8407202577708495E-01 a        16     0     2     1     1
  1.4024519063818939E+00 a        17     0     2     1     2
  1.4906145235242307E+00 a        18     0     2     1     3
 -8.1275575432564273E-01 a        19     0     2     1     4
  4.7474485171580999E-01 a        20     0     2     1     5
 -1.9547229235971902E-01 a        21     0     2     1     6
  3.5141610461503181E-01 a        22     0     2     1     7
 -1.8100775122964901E+00 a        23     0     2     1     8
 -2.3623938996259497E+00 a        24     0     2     1     9
 -1.2806247325850051E+00 a        25     0     2     1    10
  1.2418337794720460E+00 a        26     0     2     1    11
 -1.3012907113331122E+00 a        27     0     2     1    12
 -5.3621021783819178E-01 a        28     0     2     1    13
 -4.1050466762287058E-01 a        29     0     2     1    14
 -5.0453613720300905E-01 a        30     0     2     1    15
 -3.6311481010925253E-02 a        31     0     3     1     1
 -5.1564435324930313E-01 a        32     0     3     1     2
 -1.0349160773664892E+00 a        33     0     3     1     3
  3.1175471660732781E-02 a        34     0     3     1     4
 -8.5233009741549381E-01 a        35     0     3     1     5
  2.5004444346595950E-01 a        36     0     3     1     6
 -1.3616447960478717E-01 a        37     0     3     1     7
  3.1470496787036945E-01 a        38     0     3     1     8
  6.8477226853537099E-01 a        39     0     3     1     9
  3.1649788538663687E-01 a        40     0     3     1    10
 -9.1119473672788198E-01 a        41     0     3     1    11
  6.0455994566563787E-01 a        42     0     3     1    12
  2.0530983982963175E-01 a        43     0     3     1    13
 -3.7759787205514794E-01 a        44     0     3     1    14
 -3.5614003014595685E-01 a        45     0     3     1    15
  8.2480176982889286E-01 a        46     0     4     1     1
 -5.0265358201034482E-01 a        47     0     4     1     2
 -1.4217174223538813E+00 a        48     0     4     1     3
  6.5942470326652725E-01 a        49     0     4     1     4
 -3.5618427659412188E-01 a        50     0     4     1     5
  2.0433278144525460E-02 a        51     0     4     1     6
  1.2791237954510690E+00 a        52     0     4     1     7
  1.5594144613250736E+00 a        53     0     4     1     8
